97	10.2185	10.1104	10.0437	10.0139	9.96768	9.73394
98	9.93923	10.0046	10.0155	10.0068	9.9668	9.73548
99	9.35267	9.60169	9.83642	9.94458	9.94775	9.73259
100	10.5545	10.1905	10.0304	10.0026	9.96657	9.73883
101	8.74531	9.29734	9.68323	9.88299	9.92868	9.73125
102	9.39607	9.35836	9.60565	9.83668	9.91216	9.72868
103	10.2322	9.8984	9.77491	9.8743	9.92209	9.73256
104	9.95582	9.93389	9.82378	9.88205	9.92314	9.73429
105	9.95369	9.94613	9.85888	9.88887	9.92408	9.736
106	8.94329	9.32634	9.61153	9.79892	9.89363	9.7298
107	10.1571	9.8398	9.75893	9.83299	9.90181	9.73316
108	9.80717	9.81963	9.77196	9.83054	9.89887	9.73374
109	9.6278	9.70107	9.73301	9.81125	9.89045	9.7329
110	9.91871	9.83558	9.78318	9.82147	9.89133	9.73438
111	10.4985	10.2453	9.97643	9.88587	9.9102	9.7405
112	10.2252	10.2328	10.0436	9.91815	9.91998	9.7444
113	9.85672	10.0004	9.99313	9.91231	9.91802	9.74531
114	10.0791	10.049	10.0164	9.92817	9.92302	9.74801
115	8.98214	9.38966	9.73696	9.83818	9.89378	9.74178
116	10.5749	10.1222	9.96334	9.90827	9.91495	9.74859
117	10.8304	10.5599	10.1976	9.99598	9.94341	9.75747
118	9.89745	10.1505	10.1165	9.98661	9.94198	9.75862
119	10.1246	10.1345	10.1187	9.99974	9.94766	9.76165
120	10.3438	10.2638	10.1795	10.0325	9.95998	9.76648
121	10.2486	10.2544	10.1982	10.053	9.96896	9.7705
122	10.5916	10.4628	10.3045	10.1043	9.98832	9.77737
123	10.3626	10.4009	10.3202	10.1288	9.99996	9.78228
124	9.86692	10.0709	10.1977	10.1039	9.99582	9.78299
125	10.5341	10.3572	10.2886	10.1448	10.0126	9.78933
126	10.4058	10.3872	10.3203	10.1697	10.0248	9.79456
127	10.0053	10.1512	10.2352	10.154	10.0242	9.79635
128	9.8985	9.99501	10.1442	10.1297	10.0203	9.79722
129	10.089	10.0531	10.1293	10.1258	10.0224	9.79972
130	9.90456	9.96129	10.0686	10.1048	10.0188	9.80062
131	10.2784	10.1573	10.1253	10.1213	10.0268	9.80473
132	10.1286	10.1396	10.1262	10.122	10.03	9.80752
133	10.6087	10.4295	10.2565	10.1683	10.048	9.81446
134	10.2918	10.3444	10.2661	10.1801	10.0556	9.8186
135	9.93359	10.0905	10.1762	10.1566	10.0518	9.8196
136	9.64006	9.81212	10.0314	10.1075	10.039	9.81803
137	10.0783	9.97664	10.0441	10.1047	10.0402	9.82031
138	10.9452	10.5752	10.2875	10.1846	10.0684	9.83018
139	10.1082	10.2866	10.2391	10.1774	10.0696	9.83262
140	9.96517	10.0879	10.1651	10.1572	10.0664	9.83379
141	9.42943	9.68096	9.96633	10.088	10.0465	9.83022
142	10.6017	10.25	10.138	10.1368	10.0638	9.83705
143	10.3786	10.3295	10.203	10.1598	10.0736	9.84186
144	10.228	10.2668	10.2097	10.1663	10.0784	9.84529
145	10.0077	10.1066	10.1552	10.1512	10.0762	9.84674
146	9.7647	9.89531	10.0497	10.1145	10.0665	9.84601
147	10.2887	10.1384	10.1142	10.131	10.0734	9.84997
148	9.74976	9.89821	10.0158	10.0948	10.0634	9.84907
149	9.4693	9.63313	9.86814	10.0353	10.0449	9.84566
150	9.85068	9.76758	9.86342	10.0177	10.0388	9.8457
151	10.2379	10.0582	9.96458	10.0386	10.045	9.84924
152	10.0074	10.0268	9.97616	10.0357	10.0438	9.85067
153	10.3238	10.2104	10.0701	10.0631	10.0526	9.85496
154	10.576	10.4363	10.2068	10.1119	10.0689	9.86151
155	10.7103	10.6057	10.3428	10.1688	10.0888	9.86923
156	9.90584	10.1731	10.2248	10.1438	10.0831	9.86956
157	9.94898	10.0346	10.1502	10.1253	10.0789	9.87029
158	9.69041	9.82188	10.026	10.0839	10.0669	9.86864
159	10.4841	10.2311	10.1498	10.122	10.0798	9.87428
160	10.3044	10.2764	10.1915	10.1393	10.0868	9.87823
161	10.3274	10.3079	10.2282	10.1572	10.0943	9.88235
162	9.80784	9.99885	10.1147	10.124	10.0854	9.88167
163	10.1118	10.0687	10.1139	10.1228	10.0862	9.88379
164	9.4952	9.71424	9.94675	10.0631	10.0678	9.8802
165	9.41069	9.52664	9.80193	10.001	10.0474	9.87586
166	9.22732	9.34165	9.64669	9.92745	10.0218	9.86986
167	10.2878	9.92641	9.8199	9.96173	10.0301	9.87373
168	10.49	10.2747	10.0009	10.012	10.0444	9.87945
169	10.2359	10.2507	10.0644	10.0333	10.0504	9.88277
170	8.98052	9.4657	9.77159	9.93314	10.0171	9.87437
171	10.045	9.82371	9.84544	9.94378	10.018	9.87596
172	10.3455	10.1462	9.98055	9.98199	10.0282	9.88034
173	10.0114	10.0629	9.98889	9.98479	10.0276	9.88157
174	9.96059	9.99967	9.98124	9.98249	10.0256	9.88231
175	9.83891	9.90031	9.94279	9.96883	10.0197	9.8819
176	9.80756	9.84299	9.90626	9.95349	10.0131	9.8812
177	9.56223	9.66947	9.81331	9.91627	9.99911	9.87821
178	9.5448	9.59242	9.74077	9.88094	9.98496	9.87507
179	10.2517	9.99987	9.8788	9.9162	9.99327	9.87862
180	10.775	10.4789	10.1209	9.99789	10.0176	9.88706
181	10.1944	10.303	10.1407	10.0166	10.0231	9.88996
182	9.75718	9.96568	10.0371	9.99191	10.0148	9.88871
183	10.1921	10.1056	10.079	10.0109	10.0203	9.89158
184	9.35493	9.64166	9.88338	9.94854	9.99963	9.8865
185	10.2765	10.034	9.98957	9.97974	10.0082	9.89019
186	10.0965	10.0726	10.0185	9.99084	10.011	9.89215
187	10.0459	10.0561	10.0259	9.99608	10.0121	9.89361
